,Name,Season,% shots 2pt J,% shots at rim,%assisted 2pt J,%assisted 3s,%assisted at rim,%of shots 3pt,2P%,2PA,2PM,3P%,3PA,3PAr,3PM,AST,ATr,A_Score,Age,Agility,Ast/TO,BLK,Born,DEF,D_Score,Drafted,Drafted_x,Drafted_y,FG%,FG% 2pt Jumpers,FG% at rim,FGA,FGM,FGM_z,FT%,FT/FGA,FTA,FTA/FGA,FTM,FTr,GP,Height,IS_Score,League,MIN,Max_Vert,NS_Vert,OFF,OS_Score,PF,PPM,PPS,PTS,P_Score,Pick,STL,Speed,TOV,TOV%,TRB,TS,TS%,Url,WS,WSPredict,WSTOT,Weight,Wingspan,eFG,eFG%,index
10,Aaron Brooks,2005.0,,,,,,,0.42031011598,8.02866109748,3.4454111863,0.306294384236,5.96034999221,0.411590768554,1.82523245513,6.38527110218,1.54616764957,10.0211814176,19.96438356,10.57,1.44,0.167306780056,1985.03561644,3.33938948569,2.19897739399,2007.0,2007.0,2007.0,0.37987923966,,,14.6220930886,5.54812845845,0.676254518257,0.855,0.37,7.16239829679,,2.83558904991,0.226046802817,,183.0,13.9141867673,Non-NBA,892.0,39.5,30.0,0.906573122428,3.65626460189,4.36520586587,1.72174710956,1.35,16.0910437913,4.26925845427,26.0,1.29367833861,3.2,3.78522700409,20.08,4.24969564599,0.503228585065,0.575,http://basketball.realgm.com/player/Aaron-Brooks/Summary/53,,4.475,18.598,73.0,76.0,0.449267695081,0.517,15.0
11,Aaron Brooks,2006.0,,,,,,,0.413709190127,7.01628543929,2.96367453097,0.27739868761,5.18766177521,0.410715043515,1.43631759588,6.50310089266,1.93152020223,10.0211814176,20.96438356,10.57,1.79,0.190172047437,1985.03561644,3.74076166297,2.19897739399,2007.0,2007.0,2007.0,0.361283752404,,,12.7536487129,4.60465324888,0.676254518257,0.807,0.31,5.21040621814,,1.94758721058,0.188532652562,,183.0,13.9141867673,Non-NBA,1036.0,39.5,30.0,1.08470683102,3.65626460189,4.79068818826,1.63023920566,1.23,12.7203883888,4.26925845427,26.0,1.52494336547,3.2,3.08596082125,19.41,4.83048757325,0.467052866634,0.534,http://basketball.realgm.com/player/Aaron-Brooks/Summary/53,,4.475,18.598,73.0,76.0,0.423703960752,0.488,15.0
12,Aaron Brooks,2007.0,,,,,,,0.439000091563,9.72842039372,4.36048735074,0.333538898198,5.93585067661,0.369631623251,1.97732872835,5.3595662885,1.80161539248,10.0211814176,21.96438356,10.57,1.67,0.176717211652,1985.03561644,4.02137007991,2.19897739399,2007.0,2007.0,2007.0,0.407329720848,,,16.215011289,6.60434294092,0.676254518257,0.846,0.29,6.23560708398,,2.44279671712,0.177464271821,,183.0,13.9141867673,Non-NBA,1289.0,39.5,30.0,1.04156165358,3.65626460189,4.66373063822,1.69202684564,1.34,17.6793704161,4.26925845427,26.0,1.61948835641,3.2,2.72669608186,14.43,5.06681998113,0.514207942656,0.589,http://basketball.realgm.com/player/Aaron-Brooks/Summary/53,,4.475,18.598,73.0,76.0,0.474841276793,0.546,15.0
13,Aaron Brooks,2012.0,,,,,,,0.478444369754,9.57329895496,4.43793644778,0.349914189615,6.59548576072,0.372840097625,2.42130043553,6.68081305482,1.58381248521,10.0211814176,26.96438356,10.57,1.47,0.198266908842,1985.03561644,3.16299382898,2.19897739399,2007.0,2007.0,2007.0,0.428475134114,,,16.9383096816,7.35883951769,0.567152261775,0.83,0.25,6.5671359608,,2.44597295077,0.198748795053,,183.0,13.9141867673,Non-NBA,1257.3,39.5,30.0,1.02976498943,3.65626460189,6.2714030116,1.99833834085,1.36,19.9741751561,4.26925845427,26.0,2.00853486327,3.2,3.90635434124,15.15,4.13846848492,0.54888961821,0.615,http://basketball.realgm.com/player/Aaron-Brooks/Summary/53,,4.475,18.598,73.0,76.0,0.511114183471,0.58,15.0
14,Aaron Gordon,2011.0,,,,,,,0.527972123155,15.3073876752,7.64432450052,0.273866571628,1.46262349833,0.199870715102,0.955410275011,8.77815802142,6.15709058967,12.1801506197,15.29223744,10.81,,2.94122686737,3991.41552512,9.4567725564,3.06133590725,2014.0,2014.0,2014.0,0.532828762965,,,16.4552610226,8.83598085987,1.08854344347,0.310508108108,,8.63073554266,,1.07211308419,0.190417622852,,206.0,14.0913425961,Non-NBA,185.0,39.0,21.5,3.46632930333,2.04823393329,3.78645379536,4.28394323828,,18.6273714867,3.91467163764,4.0,2.1862436313,3.27,1.83061253409,,13.3406978677,1.07346334133,,http://basketball.realgm.com/player/Aaron-Gordon/Summary/24308,,6.30979432557,9.20369230769,100.0,83.0,1.1163378309,,21.0
15,Aaron Gordon,2013.0,,,,,,,0.574867512681,15.1831346348,8.72937387411,0.0,0.520820693834,0.0340079309497,0.0,5.64916282766,1.47081222128,12.1801506197,17.29223744,10.81,,1.8214564084,1995.70776256,8.60902726395,3.06133590725,2014.0,2014.0,2014.0,0.55138760432,,,16.4191092395,8.75734677739,0.569937820415,0.529,,5.03350700818,,0.785303950165,0.110129504803,,206.0,14.0913425961,Non-NBA,169.95,39.0,21.5,3.283302797,2.04823393329,7.99636371384,1.99896073671,,17.0747093849,3.91467163764,4.0,3.64291281681,3.27,2.26838664709,,12.0402355659,0.550564541433,,http://basketball.realgm.com/player/Aaron-Gordon/Summary/24308,,6.30979432557,9.20369230769,100.0,83.0,0.561275042853,,21.0
16,Aaron Gordon,2014.0,41.9,46.3,22.7,87.5,61.2,11.8,0.450366075852,13.7514680853,6.32328600319,0.293910514254,1.50398540933,0.10208747409,0.440881833562,3.00758544242,1.46745366014,12.1801506197,18.29223744,10.81,1.36,1.28057653403,1995.70776256,7.6366242942,3.06133590725,2014.0,2014.0,2014.0,0.439207699001,27.5,72.9,14.8756027583,6.53318790905,0.676254518257,0.422,0.47,9.2008017025,47.1,1.79976752819,0.285430608568,,206.0,14.0913425961,Non-NBA,1187.0,39.0,21.5,3.78318862034,2.04823393329,5.31748934867,1.6481476492,1.23,14.9171681513,3.91467163764,4.0,1.27887719154,3.27,1.87854995842,10.55,11.4490507743,0.442147557307,0.504,http://basketball.realgm.com/player/Aaron-Gordon/Summary/24308,,6.30979432557,9.20369230769,100.0,83.0,0.449314241672,0.517,21.0
17,Aaron Gray,2004.0,,,,,,,0.481084686806,11.7043920918,5.74908177372,0.0,0.0,0.0,0.0,3.44046417169,3.2283980523,6.92717581764,19.06689498,12.07,3.0,1.40854674877,1984.93310502,6.51922082176,1.87252910582,2007.0,2007.0,2007.0,0.487024666231,,,11.165769823,5.43707231288,0.676254518257,0.571,0.35,5.1163504491,,1.35447779427,0.211456509181,,213.0,8.12122295481,Non-NBA,88.0,32.5,28.5,5.3560632799,0.652267418613,10.9828878787,1.55473037543,1.3,11.7996996748,1.95956959945,49.0,0.0,3.7,0.976785342267,7.9,11.9259860706,0.487700869566,0.557,http://basketball.realgm.com/player/Aaron-Gray/Summary/11,,1.40272727273,5.74545454545,122.0,87.0,0.477938067728,0.55,22.0
18,Aaron Gray,2005.0,,,,,,,0.504238495263,12.401914052,6.38488098046,0.0,0.0,0.0,0.0,2.85921431831,0.7174217894,6.92717581764,20.06689498,12.07,0.67,1.87292729405,1984.93310502,6.36595008419,1.87252910582,2007.0,2007.0,2007.0,0.510047650453,,,11.8311926483,6.03836594541,0.676254518257,0.609,0.54,8.38245056877,,2.3638551169,0.326957963775,,213.0,8.12122295481,Non-NBA,336.0,32.5,28.5,4.67374129136,0.652267418613,10.1103306784,1.63323076923,1.48,14.2567021401,1.95956959945,49.0,0.670470899518,3.7,3.65292973192,21.92,11.0824656661,0.51832921994,0.59,http://basketball.realgm.com/player/Aaron-Gray/Summary/11,,1.40272727273,5.74545454545,122.0,87.0,0.500940434625,0.576,22.0
19,Aaron Gray,2006.0,,,,,,,0.460368121344,16.7491601409,7.87274832988,0.0,0.0,0.0,0.0,3.0485174534,0.733726830068,6.92717581764,21.06689498,12.07,0.68,2.0385329569,1984.93310502,10.782863572,1.87252910582,2007.0,2007.0,2007.0,0.465772680796,,,15.9783836184,7.44548497575,0.676254518257,0.634,0.58,12.046110278,,3.54050776888,0.347907215459,,213.0,8.12122295481,Non-NBA,921.0,32.5,28.5,5.74252263832,0.652267418613,6.43788619472,1.6765112782,1.42,18.4176718188,1.95956959945,49.0,1.00080610135,3.7,3.80823251408,17.62,16.5715204938,0.48977661829,0.557,http://basketball.realgm.com/player/Aaron-Gray/Summary/11,,1.40272727273,5.74545454545,122.0,87.0,0.457357002609,0.526,22.0
