,Name,Season,FG% 2pt Jumpers,Max_Vert,NS_Vert,IS_Score,P_Score,D_Score,OS_Score,%assisted at rim,3PA,FGA,FGM,WtHr,FG%,FG% at rim,Height,WHr,%of shots 3pt,3P%,PTS,0,FT%,%assisted 3s,3PM,FTr,FGatRim,FTA,% shots 2pt J,%assisted 2pt J,TOV,FTM,% shots at rim,PF,STL,2ptJUnAssisted,3ptJUnAssisted,RimUnAssisted,TRB,Weight,Agility,DEF,2ptJ,Stocks,RSB,RSB2,OFF,ATr,Speed,BLK,AST,Stocks2,MIN,2P%,2PA,2PM,3PAr,A_Score,Age,Born,Drafted,FGM_z,Pick,Url,WSPredict,WSTOT,Wingspan,Vert_adj,Move_adj,OS,IS,D,P,IS2,OS2
0,A.J. Hammons,2013.0,0.325,36.7959187245,30.3265990668,,,,,0.775,0.0,15.72628327,6.909687205,0.553990610329,0.295925930453,0.593208071422,3108.63265762,1.0567202957,0.0,0.0,66.5867210455,,0.315821241,,0.0,0.350052622544,3.31392827573,5.09245602683,0.643012976397,0.704613006552,2.08493841409,1.62296914481,0.667083203206,2.39960917547,0.757872574052,16.7894094152,,22.1414448156,3.36761645827,10.8627804912,1.78526527312,2.62559063755,1.68422930292,2.01812075939,3.92602241582,4.77371035022,1.64552005428,0.762032428359,2.20586067878,1.36763001917,1.03967834349,1.1906023089,5.97380961187,0.4417213701,16.46271602,7.065103031,0.0,,20.34543379,1992.654566,2016.0,0.6534594224,46.0,http://basketball.realgm.com/player/AJ-Hammons/Summary/24294,0.6082448124,-0.03489361702,220.98,1115.89507445,3.93804646718,1.50506727882,10.8965268378,1.96652527715,2.36905212254,10.8965268378,1.50506727882
1,A.J. Hammons,2014.0,0.331,36.4373099436,30.0744331632,,,,,0.616,0.2350254156,12.64902927,5.739819962,0.553990610329,0.31038918,0.730350416581,3108.63265762,1.0567202957,0.00326312733432,0.0,59.4820943723,,0.344472101,,0.0,0.482530675571,2.85598788294,5.96200323321,0.667192900005,0.712185023593,2.69729662128,1.82956748249,0.628490254499,2.74743668571,0.821414855417,15.5736857133,,20.0676172808,3.56502422993,10.8627804912,1.79402635223,2.96005940667,1.56234475239,2.3785053121,4.28563709146,6.5365943171,1.58754905706,0.607686614229,2.20484284828,1.49404351448,0.95436060306,1.35408062212,5.95971584879,0.4663850856,12.95224724,5.868922602,0.01883023832,,21.34543379,1992.654566,2016.0,0.6534594224,46.0,http://basketball.realgm.com/player/AJ-Hammons/Summary/24294,0.6082448124,-0.03489361702,220.98,1095.83144255,3.95554617233,1.45441076931,10.6113727583,2.12309996367,2.25504848639,10.6113727583,1.45441076931
2,A.J. Hammons,2015.0,0.371,35.2236783731,29.0263015548,,,,,0.694,0.3222207605,15.74074768,7.542628439,0.553990610329,0.337183149702,0.69418319196,3108.63265762,1.0567202957,0.00371806401236,0.0,76.6244827551,,0.299418309,,0.0,0.386246102296,3.49628966727,5.62286309218,0.635176587989,0.761182164149,2.52657905413,1.71855631767,0.65574385243,2.65840992531,0.929545524168,17.794324768,,22.9558132139,3.49710050613,10.8627804912,1.80421071964,2.81432792972,1.78564842412,2.39654410026,4.23947350204,7.18059773897,1.63094672024,0.78924817906,2.20436253518,1.48624672262,1.13830272344,1.43293417961,6.02465751446,0.4936147433,16.08148318,7.712280667,0.02074561652,,22.34543379,1992.654566,2016.0,0.6534594224,46.0,http://basketball.realgm.com/player/AJ-Hammons/Summary/24294,0.6082448124,-0.03489361702,220.98,1022.41311033,3.97713451594,1.43189655919,11.2826465772,2.15428050006,2.584019379,11.2826465772,1.43189655919
3,A.J. Hammons,2016.0,0.407,36.1966737961,29.8887225012,,,,,0.711,0.492051934,17.66177816,9.290496369,0.553990610329,0.387041722213,0.811481977619,3108.63265762,1.0567202957,0.00599474770111,0.308437442514,98.8825400911,,0.356400829,1.0,0.332070457049,0.329403343469,3.83013175586,5.22791121605,0.662036386962,0.720567032777,2.26671985388,1.68478977116,0.62449979984,2.48136707099,0.666728236015,20.2999515891,6.97948002834,24.3926908106,3.76805441972,10.8627804912,1.79914803595,3.21183701641,2.03658398337,2.14323142024,4.33493656594,5.11721012603,1.58240941802,0.869372572516,2.20505931227,1.42719599438,1.18129530369,1.16535445858,6.00758392899,0.5302500992,17.88355693,9.213046484,0.02823414901,,23.34543379,1992.654566,2016.0,0.6534594224,46.0,http://basketball.realgm.com/player/AJ-Hammons/Summary/24294,0.6082448124,-0.03489361702,220.98,1081.87233856,3.96722813083,1.90894125061,11.9941171229,2.17384121098,2.6475736152,11.9941171229,1.90894125061
4,A.J. Price,2007.0,,31.0,26.0,10.24727061,3.790969688,1.751378871,2.73244186,,4.231315683,14.464706,4.96815954,0.468085106383,0.204569870852,,2577.72612975,1.03535135639,,0.109349376372,49.8230626602,,0.328509,,0.991530565299,0.337636738445,,4.61324251619,,,2.33748652717,1.52945342557,,1.8191280293,1.40157293995,,,,2.29278856679,9.38083151965,1.79443584449,1.84114545026,,1.43895477771,2.70693004422,1.04715157748,1.237424033,1.26967999952,2.20561262235,0.570840686741,1.59008844514,0.675807133932,5.91754886416,0.3986197313,9.936977805,3.848413365,0.2964585646,6.098540966,20.23356164,1986.766438,2009.0,0.6534594224,52.0,http://basketball.realgm.com/player/AJ-Price/Summary/1656,1.66,4.722121212,192.405,806.0,3.95783034862,1.82642824445,9.48995635694,1.80535705398,3.42777012504,9.48995635694,1.82642824445
5,A.J. Price,2008.0,,31.0,26.0,10.24727061,3.790969688,1.751378871,2.73244186,,4.739363851,14.45635866,5.612915514,0.468085106383,0.245469410051,,2577.72612975,1.03535135639,,0.171835103672,61.3048814698,,0.415160936,,1.35372771552,0.335919422199,,4.58779159933,,,2.09747017418,1.58496156641,,1.77305818855,1.26329029997,,,,2.14094553691,9.38083151965,1.79443584449,1.9117754536,,1.30661563158,2.50816510635,0.902481570782,0.993432599682,1.40948013713,2.20561262235,0.577650003845,1.65998446553,0.649256582319,6.27287700655,0.4285959351,9.303272452,3.873935539,0.3322456641,6.098540966,21.23356164,1986.766438,2009.0,0.6534594224,52.0,http://basketball.realgm.com/player/AJ-Price/Summary/1656,1.66,4.722121212,192.405,806.0,3.95783034862,2.25572081932,9.66792950737,1.75976891206,3.5541847115,9.66792950737,2.25572081932
6,A.J. Price,2009.0,,31.0,26.0,10.24727061,3.790969688,1.751378871,2.73244186,,6.71124956,16.12078427,5.837000439,0.468085106383,0.221444790586,,2577.72612975,1.03535135639,,0.195394088173,66.3853850362,,0.374805361,,1.87453439566,0.283445725388,,4.20081849909,,,2.37396845399,1.46873491175,,1.59826037772,0.933707173851,,,,2.1721643476,9.38083151965,1.79443584449,2.00240726327,,0.933707173851,2.36434071984,0.0,0.916389187119,1.25813444218,2.20561262235,0.0,1.58729536899,0.0,6.32076829425,0.3689010396,8.619957152,3.089467199,0.4219057139,6.098540966,22.23356164,1986.766438,2009.0,0.6534594224,52.0,http://basketball.realgm.com/player/AJ-Price/Summary/1656,1.66,4.722121212,192.405,806.0,3.95783034862,2.49212151037,9.12453750113,1.31947666815,3.4239504436,9.12453750113,2.49212151037
7,A.J. Price,2016.0,,31.0,26.0,10.24727061,3.790969688,1.751378871,2.73244186,,10.0568988,19.79406048,7.008720061,0.468085106383,0.219172673693,,2577.72612975,1.03535135639,,0.209363005077,82.3920098898,,0.322828856,,2.77742277117,0.250034546563,,4.37284740262,,,2.06351628046,1.43115642751,,1.77064859416,1.12449330011,,,,2.22953199663,9.38083151965,1.79443584449,2.02222631152,,1.15588053662,2.51134878879,0.670733729324,0.9805043902,1.20262305327,2.20561262235,0.51723723612,1.45884149163,0.548489374194,6.55436066316,0.3941769791,9.450203644,3.581648724,0.5121854898,6.098540966,29.23356164,1986.766438,2009.0,0.5223801077,52.0,http://basketball.realgm.com/player/AJ-Price/Summary/1656,1.66,4.722121212,192.405,806.0,3.95783034862,2.94609995045,9.28495602462,1.68280934594,3.16747679096,9.28495602462,2.94609995045
8,Aaron Brooks,2004.0,,39.5,32.5,13.91418677,4.269258454,2.198977394,3.656264602,,5.008133055,9.601980987,3.163644543,0.398907103825,0.192015411749,,2475.5781143,1.08341371427,,0.171137060447,28.4069421404,,0.489303872,,1.40983514247,0.253191348275,,2.54415679987,,,2.45212665061,1.09908970653,,2.38706232009,1.11217738019,,,,1.96807792783,8.54400374532,1.788854382,1.75238348743,,1.14442108279,2.27662696653,0.590426642095,0.946143540299,1.09420354114,2.17743272547,0.519367534699,1.44349756378,0.547724071355,5.60027209829,0.3348405743,3.890951221,1.265792351,0.5285830125,10.02118142,18.96438356,1985.035616,2007.0,0.6534594224,26.0,http://basketball.realgm.com/player/Aaron-Brooks/Summary/53,4.475,18.98531915,193.04,1283.75,3.89511007247,2.2183450614,8.41838410533,1.36938710076,3.15414503103,8.41838410533,2.2183450614
9,Aaron Brooks,2005.0,,39.5,32.5,13.91418677,4.269258454,2.198977394,3.656264602,,5.707486064,14.08448737,5.361112894,0.398907103825,0.238759775447,,2475.5781143,1.08341371427,,0.173234028342,62.2159372433,,0.625026375,,1.56456364396,0.326899070989,,4.37818240365,,,2.63103239326,1.64375721535,,2.04271130804,1.10244963558,,,,2.05364751235,8.54400374532,1.788854382,1.83336388859,,1.18129325195,2.36916057964,0.960708279742,0.967088312678,1.18004813918,2.17743272547,0.651408522127,1.56480487757,0.683963325288,6.10031895202,0.4290597835,7.723067444,3.219409633,0.410678531,10.02118142,19.96438356,1985.035616,2007.0,0.6534594224,26.0,http://basketball.realgm.com/player/Aaron-Brooks/Summary/53,4.475,18.98531915,193.04,1283.75,3.89511007247,2.48873051576,9.65050876901,1.57214364401,3.39350206415,9.65050876901,2.48873051576
