,Name,Season,OBPM,DBPM,BPM
0,A'Torey Everett,2017,-5.2,-1.2,-6.4
1,A'Torri Shine,2014,-1.6,-5.7,-7.4
2,A'Torri Shine,2015,-1.9,-5.2,-7.2
3,A'uston Calhoun,2011,-3.3,-1.1,-4.4
4,A'uston Calhoun,2012,-0.7,-2.0,-2.7
5,A'uston Calhoun,2013,-1.3,-2.1,-3.4
6,A.C. Reid,2015,-4.3,-2.7,-6.9
7,A.C. Reid,2016,-2.2,-2.2,-4.3
8,A.C. Reid,2017,-3.3,-0.8,-4.2
9,A.J. Astroth,2015,-1.0,-1.0,-2.1
10,A.J. Astroth,2017,-2.0,-0.2,-2.2
11,A.J. Avery,2014,-4.8,2.9,-1.9
12,A.J. Avery,2015,-4.3,0.5,-3.8
13,A.J. Avery,2016,-1.1,1.7,0.6
14,A.J. Cockrell,2016,-4.5,-3.0,-7.4
15,A.J. Davis,2012,2.4,-1.2,1.2
16,A.J. Davis,2013,4.0,-0.8,3.2
17,A.J. Davis,2016,0.1,1.9,2.0
18,A.J. Davis,2017,-1.2,4.7,3.4
19,A.J. English,2014,2.7,-2.3,0.4
20,A.J. English,2015,4.7,-1.3,3.5
21,A.J. English,2016,7.3,-0.1,7.2
22,A.J. Hammons,2013,1.0,4.6,5.6
23,A.J. Hammons,2014,-1.5,7.0,5.4
24,A.J. Hammons,2015,1.2,7.7,8.9
25,A.J. Hammons,2016,3.9,8.0,11.9
26,A.J. Hardeman,2011,-0.5,3.0,2.5
27,A.J. Hardeman,2012,-2.1,4.1,2.0
28,A.J. Harris,2016,-2.1,-0.1,-2.3
29,A.J. Hess,2013,-1.0,-2.1,-3.1
30,A.J. Hess,2014,-0.5,-3.6,-4.1
31,A.J. Hess,2015,2.1,-2.7,-0.5
32,A.J. Hess,2017,2.0,-2.6,-0.6
33,A.J. Jacobson,2015,1.8,-1.4,0.4
34,A.J. Jacobson,2016,1.0,-0.2,0.7
35,A.J. Jacobson,2017,0.9,1.0,1.8
36,A.J. John,2015,-7.8,2.4,-5.4
37,A.J. John,2016,-5.5,2.7,-2.8
38,A.J. Jones,2013,-1.2,-2.4,-3.6
39,A.J. Lawson,2017,-1.2,-1.7,-2.8
40,A.J. Mathew,2012,-2.7,0.7,-2.0
41,A.J. Merriweather,2014,-1.7,0.3,-1.4
42,A.J. Merriweather,2015,-0.3,0.6,0.3
43,A.J. Merriweather,2017,1.5,2.4,4.0
44,A.J. Mosby,2017,-0.2,-0.5,-0.7
45,A.J. Pacher,2011,-2.3,-1.9,-4.2
46,A.J. Pacher,2012,-4.0,-0.4,-4.4
47,A.J. Pacher,2013,-0.4,0.9,0.5
48,A.J. Pacher,2014,0.8,0.2,1.0
49,A.J. Riley,2016,-1.1,-1.8,-2.9
50,A.J. Rogers,2012,-4.6,0.7,-4.0
51,A.J. Rogers,2013,-4.9,4.0,-0.9
52,A.J. Rompza,2011,0.6,0.4,1.0
53,A.J. Spencer,2014,0.6,-0.1,0.5
54,A.J. Spencer,2016,-0.6,-0.6,-1.2
55,A.J. Turner,2016,-1.8,2.3,0.4
56,A.J. Turner,2017,2.1,0.4,2.5
57,A.J. Tyler,2011,1.4,1.4,2.8
58,A.J. Walton,2011,1.1,2.7,3.9
59,A.J. Walton,2012,-0.7,3.7,3.0
60,A.J. Walton,2013,1.0,3.7,4.7
61,AJ Brodeur,2017,-1.3,5.8,4.5
62,AJ Sumbry,2014,-4.6,0.0,-4.5
63,AJ Sumbry,2017,-4.6,3.4,-1.2
64,AJ West,2015,1.6,3.2,4.9
65,Aakim Saintil,2014,-2.1,-1.0,-3.1
66,Aakim Saintil,2016,-0.3,-3.7,-4.0
67,Aaren Edmead,2015,-2.6,-4.2,-6.7
68,Aaren Edmead,2016,-2.5,-2.1,-4.6
69,Aaric Armstead,2014,-3.4,1.5,-1.8
70,Aaric Armstead,2015,-0.3,0.5,0.1
71,Aaric Armstead,2016,-1.8,1.2,-0.7
72,Aaric Armstead,2017,-2.1,3.1,1.0
73,Aaric Murray,2011,1.9,2.4,4.3
74,Aaric Murray,2013,2.6,5.4,8.0
75,Aaric Murray,2014,1.2,-0.2,1.0
76,Aaron (Gordo) Castillo,2011,4.4,-1.0,3.4
77,Aaron Adeoye,2012,-3.7,1.1,-2.6
78,Aaron Adeoye,2014,-6.0,2.2,-3.7
79,Aaron Adeoye,2015,-3.8,0.4,-3.3
80,Aaron Anderson,2011,-2.6,-1.9,-4.5
81,Aaron Anderson,2012,2.1,-1.8,0.4
82,Aaron Anderson,2013,3.9,-1.8,2.1
83,Aaron Anderson,2014,2.7,-3.1,-0.4
84,Aaron Anderson,2016,-1.1,-0.8,-1.9
85,Aaron Anderson,2017,1.7,0.1,1.8
86,Aaron Ariri,2015,-7.7,-1.4,-9.0
87,Aaron Ariri,2016,-3.7,-2.1,-5.8
88,Aaron Armstead,2012,-5.1,-1.5,-6.5
89,Aaron Armstead,2014,-1.1,-0.8,-1.9
90,Aaron Armstead,2015,1.7,-0.1,1.6
91,Aaron Augustin,2017,-6.2,-0.7,-6.9
92,Aaron Bacote,2013,-1.1,-2.6,-3.8
93,Aaron Bacote,2014,2.4,-2.0,0.5
94,Aaron Bacote,2015,2.5,0.0,2.6
95,Aaron Bacote,2016,3.4,-0.5,2.9
96,Aaron Bodager,2016,3.5,-3.0,0.5
97,Aaron Bodager,2017,-1.3,-1.2,-2.5
98,Aaron Bowen,2013,-2.2,1.1,-1.2
99,Aaron Bowen,2014,1.2,2.6,3.8
100,Aaron Bowen,2015,2.6,2.8,5.5
101,Aaron Bracket,2011,-3.1,-0.6,-3.7
102,Aaron Bracket,2012,-3.2,-0.3,-3.5
103,Aaron Brennan,2015,-1.5,0.7,-0.8
104,Aaron Brennan,2016,-4.4,1.0,-3.3
105,Aaron Brennan,2017,0.5,-1.4,-0.9
106,Aaron Bright,2011,0.7,-1.0,-0.3
107,Aaron Bright,2012,4.7,-0.5,4.2
108,Aaron Bright,2013,1.9,-1.4,0.5
109,Aaron Bright,2015,0.8,-1.8,-1.0
110,Aaron Broussard,2011,0.4,0.5,0.8
111,Aaron Broussard,2012,3.5,-1.9,1.7
112,Aaron Brown,2011,-0.2,-1.4,-1.6
113,Aaron Brown,2012,4.9,-2.8,2.1
114,Aaron Brown,2014,2.7,0.0,2.8
115,Aaron Brown,2015,2.0,-2.0,0.0
116,Aaron Brown,2016,1.0,0.0,1.1
117,Aaron Calixte,2015,-4.4,-4.1,-8.5
118,Aaron Calixte,2016,-2.3,-4.3,-6.5
119,Aaron Carter,2011,2.2,0.5,2.7
120,Aaron Carver,2017,-5.8,4.8,-1.0
121,Aaron Clayborn,2012,-7.7,-2.7,-10.4
122,Aaron Clayborn,2013,-1.5,-0.2,-1.7
123,Aaron Clayborn,2014,-3.0,-2.9,-5.9
124,Aaron Cook,2017,-1.6,2.7,1.2
125,Aaron Cosby,2012,1.4,0.0,1.4
126,Aaron Cosby,2013,3.2,-1.8,1.4
127,Aaron Cosby,2016,0.7,-3.1,-2.4
128,Aaron Craft,2011,4.5,5.3,9.8
129,Aaron Craft,2012,5.3,6.4,11.7
130,Aaron Craft,2013,4.5,4.6,9.1
131,Aaron Craft,2014,2.8,6.3,9.1
132,Aaron Dotson,2011,-0.8,0.8,-0.1
133,Aaron Ellis,2011,-0.6,1.9,1.3
134,Aaron Epps,2016,0.9,-0.3,0.6
135,Aaron Epps,2017,0.7,-1.5,-0.8
136,Aaron Falzon,2016,4.0,0.5,4.5
137,Aaron Foster-Smith,2016,0.5,-2.5,-2.0
138,Aaron Fuller,2013,0.0,1.6,1.6
139,Aaron Geramipoor,2014,-0.6,2.8,2.2
140,Aaron Gordon,2014,2.8,6.7,9.6
141,Aaron Graham,2011,-1.1,-1.7,-2.8
142,Aaron Graham,2012,1.6,-1.8,-0.2
143,Aaron Graham,2013,0.6,-2.7,-2.0
144,Aaron Graham,2014,-2.6,-4.6,-7.1
145,Aaron Harrison,2014,5.4,1.5,6.9
146,Aaron Harrison,2015,5.2,3.6,8.8
147,Aaron Harwell,2011,-5.3,-1.6,-6.9
148,Aaron Harwell,2012,-5.7,0.8,-4.9
149,Aaron Harwell,2013,-7.6,0.9,-6.7
150,Aaron Hawley,2011,-0.7,-1.7,-2.4
151,Aaron Hawley,2012,-0.3,-1.1,-1.4
152,Aaron Hawley,2014,0.9,-2.0,-1.1
153,Aaron Hines,2017,-3.6,-0.4,-4.0
154,Aaron Holiday,2016,0.9,1.9,2.7
155,Aaron Holiday,2017,4.4,0.6,5.0
156,Aaron Horne,2017,-2.0,-1.0,-3.0
157,Aaron Jackson,2015,-3.5,-1.7,-5.2
158,Aaron Jackson,2016,-0.5,-0.4,-0.9
159,Aaron Jackson,2017,1.5,-0.8,0.7
160,Aaron Johnson,2011,2.4,0.5,2.9
161,Aaron Jones,2012,-1.0,5.9,4.9
162,Aaron Jones,2014,-0.5,5.7,5.2
163,Aaron Jordan,2016,0.7,-0.1,0.6
164,Aaron Korn,2015,-4.3,-2.5,-6.8
165,Aaron Korn,2016,-4.8,-1.4,-6.2
166,Aaron Korn,2017,0.4,-0.3,0.1
167,Aaron Martin,2012,-3.2,-4.0,-7.2
168,Aaron Menzies,2016,-6.1,0.5,-5.6
169,Aaron Mitchell,2011,0.1,-3.1,-3.0
170,Aaron Moore,2013,0.3,-1.9,-1.5
171,Aaron Morgan,2013,-6.4,-3.1,-9.5
172,Aaron O'Neill,2014,-3.6,-4.9,-8.5
173,Aaron Parks,2014,-3.3,-2.8,-6.1
174,Aaron Parks,2015,-2.5,-2.0,-4.5
175,Aaron Parks,2017,-1.9,-1.1,-3.0
176,Aaron Pogue,2011,-2.1,1.9,-0.1
177,Aaron Pogue,2012,-3.2,2.2,-1.0
178,Aaron Ross,2014,2.7,-1.1,1.6
179,Aaron Ross,2016,4.8,-0.1,4.7
180,Aaron Ross,2017,4.3,0.0,4.3
181,Aaron Rountree,2013,0.0,8.5,8.5
182,Aaron Rountree,2014,-2.1,5.0,2.8
183,Aaron Rountree,2015,-0.8,4.5,3.7
184,Aaron Rountree,2016,-1.6,6.1,4.5
185,Aaron Scales,2013,-3.1,-2.4,-5.5
186,Aaron Scales,2016,-5.7,-1.2,-6.8
187,Aaron Scales,2017,-3.9,-3.1,-7.1
188,Aaron Short,2014,2.3,1.8,4.1
189,Aaron Simpson,2015,1.1,-1.5,-0.4
190,Aaron Simpson,2016,1.3,0.3,1.6
191,Aaron Tate,2014,-3.5,0.9,-2.6
192,Aaron Tate,2015,-2.7,-0.2,-2.9
193,Aaron Tate,2017,-2.6,1.6,-1.0
194,Aaron Thomas,2013,-0.6,0.4,-0.3
195,Aaron Thomas,2014,3.6,2.2,5.9
196,Aaron Thompson,2011,-5.9,1.1,-4.8
197,Aaron Urbanus,2011,1.1,-4.3,-3.3
198,Aaron Urbanus,2012,-2.0,-3.6,-5.6
199,Aaron Urbanus,2013,-1.0,-2.6,-3.6
200,Aaron Valdes,2014,-0.3,0.1,-0.1
201,Aaron Valdes,2015,2.3,0.7,3.0
202,Aaron Valdes,2016,3.9,2.5,6.5
203,Aaron Walker,2017,-2.0,-1.2,-3.1
204,Aaron Ware,2011,-2.4,-0.6,-3.0
205,Aaron Ware,2012,-3.9,-2.1,-6.0
206,Aaron Weidenaar,2017,-2.7,-5.4,-8.1
207,Aaron Wheeler,2015,-1.7,0.9,-0.8
208,Aaron Wheeler,2016,-0.7,1.0,0.3
209,Aaron White,2012,4.1,0.4,4.5
210,Aaron White,2013,5.2,3.6,8.7
211,Aaron White,2014,6.2,3.7,9.9
212,Aaron White,2015,8.5,3.3,11.8
213,Aaron Williams,2012,-7.2,-1.3,-8.6
214,Aaron Williams,2013,-4.0,-1.7,-5.6
215,Aaron Williams,2015,-8.8,-0.7,-9.5
216,Aaron Wright,2014,-1.7,2.4,0.7
217,Aaron Wright,2015,-3.0,1.7,-1.3
218,Aaron Wright,2016,-1.2,2.7,1.5
219,Aaron Young,2015,1.5,-3.0,-1.4
220,Aaron Young,2016,2.0,-3.2,-1.2
221,Aaron Young,2017,2.3,-2.0,0.2
222,Aaseem Dixon,2014,-0.1,-2.9,-3.0
223,Aaseem Dixon,2015,0.7,-2.0,-1.2
224,Abdel Nader,2012,-5.5,-1.4,-6.9
225,Abdel Nader,2015,-0.5,1.8,1.3
226,Abdel Nader,2016,2.6,1.8,4.5
227,Abdou Niang,2011,-10.5,-0.3,-10.8
228,Abdoulaye Harouna,2016,-2.6,-0.1,-2.7
229,Abdoulaye Harouna,2017,-3.0,-0.2,-3.2
230,Abdul Ahmed,2014,-5.5,-1.7,-7.2
231,Abdul Ahmed,2015,-2.8,-1.6,-4.4
232,Abdul Gaddy,2012,1.2,-0.1,1.0
233,Abdul Gaddy,2013,2.2,0.8,3.0
234,Abdul Lewis,2015,-4.9,-1.4,-6.3
235,Abdul Lewis,2017,-3.6,-0.2,-3.8
236,Abdul-Malik Abu,2015,0.7,1.6,2.3
237,Abdul-Malik Abu,2016,1.9,1.0,2.9
238,Abdul-Malik Abu,2017,0.4,0.7,1.1
239,Abdulai Bundu,2016,-3.0,-0.6,-3.6
240,Abdulai Bundu,2017,-4.6,-2.5,-7.1
241,Abe Lodwick,2011,0.1,3.5,3.6
242,Abednego Lufile,2016,-3.7,-0.6,-4.3
243,Abiola Akintola,2017,-0.2,0.8,0.6
244,Abner Moreira,2011,-3.0,-0.5,-3.5
245,Abner Moreira,2012,-4.3,0.2,-4.1
246,Aboubacar Diallo,2017,-7.1,6.1,-1.0
247,Adam Barnes,2011,0.5,1.0,1.5
248,Adam Barnes,2012,1.4,1.1,2.5
249,Adam Barnes,2013,-1.6,1.0,-0.5
250,Adam Brown,2011,2.1,-0.7,1.3
251,Adam Chmielewski,2011,-4.7,-0.7,-5.4
252,Adam Folker,2012,-2.7,-1.3,-3.9
253,Adam Folker,2013,-0.6,0.4,-0.2
254,Adam Grant,2017,0.2,-2.0,-1.8
255,Adam Kemp,2012,-3.4,2.3,-1.1
256,Adam Kemp,2013,-1.7,1.9,0.2
257,Adam Kemp,2014,-2.4,2.0,-0.4
258,Adam Leonard,2011,3.2,-1.3,1.8
259,Adam Link,2013,-1.0,1.4,0.4
260,Adam Link,2014,-1.9,1.1,-0.7
261,Adam Malik,2012,-1.5,-2.6,-4.1
262,Adam McDermott,2016,1.2,-1.6,-0.5
263,Adam Nigon,2011,3.6,1.5,5.2
264,Adam Pegg,2012,0.9,-2.8,-1.8
265,Adam Pegg,2013,0.2,-3.0,-2.8
266,Adam Pickett,2016,-0.5,0.7,0.1
267,Adam Pickett,2017,-1.8,3.3,1.4
268,Adam Roe,2016,-1.5,-2.7,-4.2
269,Adam Sledd,2017,-4.6,-0.8,-5.4
270,Adam Smith,2012,1.2,-4.3,-3.1
271,Adam Smith,2015,4.7,-2.8,1.9
272,Adam Smith,2016,6.4,-0.9,5.4
273,Adam Sollazzo,2011,0.2,1.1,1.4
274,Adam Sollazzo,2012,1.2,-0.1,1.1
275,Adam Sterrenberg,2011,-1.3,-0.9,-2.2
276,Adam Sterrenberg,2012,-0.7,-3.0,-3.7
277,Adam Thomas,2012,-0.5,-1.6,-2.2
278,Adam Thoseby,2012,-5.7,-2.0,-7.8
279,Adam Thoseby,2014,-2.7,-3.3,-6.0
280,Adam Thoseby,2015,-3.9,-5.1,-9.1
281,Adam Waddell,2012,-0.5,3.2,2.7
282,Adam Ward,2016,-3.8,0.5,-3.4
283,Adam Ward,2017,-6.5,0.9,-5.7
284,Adam Weary,2013,-0.1,-0.2,-0.3
285,Adam Weary,2014,-0.5,-4.0,-4.5
286,Adam Weary,2015,0.0,-2.2,-2.3
287,Adam Weary,2016,3.0,-1.1,1.9
288,Adam Weir,2015,-3.7,-0.4,-4.1
289,Adam Wing,2013,-2.7,2.0,-0.7
290,Adam Wing,2014,-2.1,0.4,-1.8
291,Adam Wing,2015,0.0,1.8,1.8
292,Adam Wing,2016,1.8,2.7,4.6
293,Adam Wire,2011,0.5,3.1,3.5
294,Adam Woodbury,2013,-1.4,4.7,3.4
295,Adam Woodbury,2014,2.6,3.8,6.4
296,Adam Woodbury,2015,0.6,3.4,4.0
297,Adam Woodbury,2016,2.2,3.2,5.5
298,Adam Young,2012,-1.3,-3.4,-4.7
299,Adam Young,2013,-0.7,1.2,0.4
300,Adama Adams,2013,-3.1,-4.4,-7.6
301,Adama Adams,2014,-3.0,-4.2,-7.2
302,Addison Spruill,2014,-3.1,-2.6,-5.7
303,Addison Spruill,2015,-0.7,-0.4,-1.1
304,Ade Murkey,2017,0.2,0.2,0.4
305,Adedeji Ibitayo,2013,-2.5,0.2,-2.2
306,Adedeji Ibitayo,2014,1.7,0.2,1.9
307,Adedeji Ibitayo,2015,4.1,0.7,4.9
308,Adjehi Baru,2012,-1.7,0.8,-1.0
309,Adjehi Baru,2013,-1.6,1.7,0.1
310,Adjehi Baru,2014,-2.0,4.1,2.1
311,Adjehi Baru,2015,-3.1,1.0,-2.1
312,Admassu Williams,2016,-4.7,-1.3,-6.0
313,Admir Sahbegovic,2012,-6.7,-2.0,-8.6
314,Admiral Schofield,2016,2.8,0.2,3.0
315,Admiral Schofield,2017,1.8,0.9,2.8
316,Admon Gilder,2016,3.6,3.8,7.4
317,Admon Gilder,2017,3.8,2.1,5.9
318,Adnan Hodzic,2011,1.4,-3.2,-1.8
319,Adom Jacko,2016,1.3,-1.0,0.3
320,Adonis Burbage,2012,-3.8,-1.5,-5.3
321,Adonis Burbage,2013,0.4,-4.1,-3.7
322,Adonis Burbage,2015,0.4,-2.7,-2.3
323,Adonis Burbage,2016,-0.8,-2.7,-3.4
324,Adonis Filer,2013,0.6,0.6,1.2
325,Adonis Filer,2014,-1.4,2.1,0.7
326,Adonis Filer,2016,-1.8,-0.3,-2.0
327,Adonis Filer,2017,0.8,-1.8,-1.0
328,Adonis Rwabigwi,2014,-6.2,-0.9,-7.2
329,Adonis Rwabigwi,2016,-7.5,-2.5,-10.1
330,Adonis Rwabigwi,2017,-5.5,-0.4,-5.9
331,Adonis Thomas,2013,-0.1,1.1,1.0
332,Adonys Henriquez,2015,3.1,-2.1,1.0
333,Adonys Henriquez,2016,2.4,-0.4,2.0
334,Adreian Payne,2011,-3.0,6.0,3.0
335,Adreian Payne,2012,2.1,5.7,7.8
336,Adreian Payne,2013,3.9,5.4,9.3
337,Adreian Payne,2014,4.5,2.1,6.6
338,Adrian Bowie,2011,4.3,3.1,7.4
339,Adrian Brown,2016,-7.3,-1.1,-8.4
340,Adrian Brown,2017,-6.1,-0.8,-6.9
341,Adrian Burton,2011,-6.2,0.2,-6.0
342,Adrian Diaz,2015,1.1,4.9,6.0
343,Adrian Diaz,2016,2.9,3.5,6.4
344,Adrian Edwards,2015,-7.8,-2.8,-10.5
345,Adrian Edwards,2016,-6.1,-1.8,-7.9
346,Adrian Fields,2012,-3.3,-4.1,-7.4
347,Adrian Fields,2013,-4.9,-3.7,-8.6
348,Adrian Fields,2014,-4.4,-2.3,-6.6
349,Adrian Forbes,2011,-3.4,1.9,-1.5
350,Adrian Forbes,2012,-3.5,2.0,-1.5
351,Adrian Oliver,2011,5.4,-2.2,3.2
352,Adrian Powell,2011,-1.0,-1.1,-2.1
353,Adrian Powell,2012,-1.8,0.4,-1.4
354,Adrian Powell,2013,-0.1,0.8,0.6
355,Adrian Rich,2016,-7.3,-2.4,-9.7
356,Adrian Rich,2017,-3.1,-3.4,-6.5
357,Adrian Rodgers,2012,-3.3,-1.9,-5.2
358,Adrian Rodgers,2013,-0.3,-3.5,-3.8
359,Adrian Rodgers,2015,-1.7,-2.2,-3.9
360,Adrian Rodgers,2016,0.6,-2.5,-1.9
361,Adrian Satchell,2011,-4.1,-3.3,-7.4
362,Adrian Satchell,2013,-3.9,-0.7,-4.6
363,Adrian Thomas,2011,4.9,-0.6,4.3
364,Adrian Williams,2011,0.1,-3.4,-3.3
365,Adrick McKinney,2012,-4.4,0.5,-3.9
366,Adrick McKinney,2013,-2.0,1.2,-0.8
367,Adrien Coleman,2012,-0.9,-1.5,-2.4
368,Adrien Coleman,2013,2.7,-1.2,1.5
369,Adrio Bailey,2017,0.0,4.2,4.3
370,Adrion Webber,2014,-0.9,-3.7,-4.6
371,Adrion Webber,2015,1.6,-2.7,-1.2
372,Aerris Smith,2012,-3.5,-3.0,-6.5
373,Aerris Smith,2013,-4.8,1.5,-3.3
374,Aerris Smith,2014,-5.2,-1.4,-6.6
375,Agunwa Okolie,2014,-1.9,1.6,-0.3
376,Agunwa Okolie,2015,-1.9,3.2,1.3
377,Agunwa Okolie,2016,0.5,2.7,3.2
378,Agustin Ambrosino,2013,-1.4,-0.3,-1.7
379,Ahmaad Rorie,2015,0.4,-0.2,0.2
380,Ahmaad Rorie,2017,4.3,-2.2,2.1
381,Ahmad Abdullah,2015,-2.2,-2.9,-5.1
382,Ahmad Abdullah,2016,-1.7,-3.2,-4.9
383,Ahmad Caver,2016,-3.6,2.6,-1.0
384,Ahmad Caver,2017,2.1,0.4,2.5
385,Ahmad Grant,2011,-0.7,-1.0,-1.7
386,Ahmad Ibrahim,2012,-2.4,-0.5,-2.9
387,Ahmad Starks,2011,0.1,-3.4,-3.4
388,Ahmad Starks,2012,3.1,-1.5,1.5
389,Ahmad Starks,2013,3.0,-1.7,1.3
390,Ahmad Starks,2015,1.5,0.3,1.7
391,Ahmad Thomas,2016,-1.1,3.2,2.1
392,Ahmad Thomas,2017,2.7,3.1,5.8
393,Ahmad Wagner,2016,1.9,4.5,6.4
394,Ahmad Wagner,2017,2.1,3.3,5.4
395,Ahmad Walker,2014,-2.5,0.8,-1.6
396,Ahmad Walker,2016,-1.1,2.4,1.3
397,Ahman Fells,2014,-4.8,-0.1,-4.9
398,Ahman Fells,2015,1.9,-0.4,1.4
399,Ahmed Hamdy Mohamed,2016,-2.2,1.4,-0.7
400,Ahmed Hamdy Mohamed,2017,-3.6,2.0,-1.6
401,Ahmed Hill,2015,0.4,-0.5,-0.1
402,Ahmed Hill,2017,3.4,-0.2,3.2
403,Ahmed Ismail,2017,-5.6,2.0,-3.7
404,Ahsante Shivers,2017,-1.7,-0.6,-2.3
405,Ahyaro Phillips,2011,-1.9,1.8,-0.1
406,Aitor Zubizarreta,2015,-3.4,1.0,-2.4
407,Ajak Magot,2015,-4.5,0.1,-4.3
408,Ajdin Penava,2017,-0.9,1.3,0.4
409,Ajon Efferson,2015,-1.1,-5.5,-6.6
410,Ak Ojo,2017,-5.9,3.1,-2.9
411,Akachi Okugo,2014,-4.3,-2.3,-6.6
412,Akeem Anderson,2012,-7.7,-1.0,-8.7
413,Akeem Bennett,2011,0.3,3.8,4.1
414,Akeem Ellis,2011,-1.2,-1.6,-2.8
415,Akeem Ellis,2012,1.5,-3.4,-1.9
416,Akeem Johnson,2011,-1.8,-1.1,-2.9
417,Akeem Johnson,2012,-0.2,1.8,1.6
418,Akeem Johnson,2013,-0.7,0.6,-0.1
419,Akeem Richmond,2011,0.9,-1.7,-0.8
420,Akeem Richmond,2013,6.5,-3.9,2.6
421,Akeem Richmond,2014,5.8,-4.0,1.8
422,Akeem Springs,2015,-1.5,-1.5,-3.0
423,Akeem Springs,2016,1.7,-0.3,1.4
424,Akeem Springs,2017,3.1,1.3,4.4
425,Akeem Williams,2014,1.1,-2.8,-1.7
426,Akil Mitchell,2011,-3.0,4.1,1.1
427,Akil Mitchell,2012,-0.7,5.3,4.5
428,Akil Mitchell,2013,3.8,4.3,8.1
429,Akil Mitchell,2014,1.0,7.0,8.0
430,Akim Mitchell,2016,-3.7,-1.3,-5.0
431,Akim Mitchell,2017,-3.8,-0.4,-4.2
432,Ako Adams,2017,-3.5,-2.1,-5.6
433,Ako Kaluna,2014,-2.7,-3.2,-5.9
434,Ako Kaluna,2015,0.9,-1.2,-0.3
435,Ako Kaluna,2016,-3.6,-2.2,-5.8
436,Ako Kaluna,2017,0.1,-0.8,-0.8
437,Akoy Agau,2017,-0.8,5.3,4.5
438,Aksel Bolin,2012,-0.4,-0.6,-1.0
439,Aksel Bolin,2013,-0.4,1.0,0.6
440,Aksel Bolin,2014,-1.7,1.6,-0.1
441,Akwasi Yeboah,2017,-0.5,-1.2,-1.7
442,Al Eichelberger,2017,-1.8,0.7,-1.1
443,Al Rapier,2011,-3.5,2.4,-1.2
444,Al Rapier,2012,-1.8,0.2,-1.5
445,Al'lonzo Coleman,2012,2.2,-0.1,2.1
446,Alain Chigha,2017,-1.2,-0.4,-1.6
447,Alan Flannigan,2013,-4.4,-0.3,-4.6
448,Alan Flannigan,2014,-2.9,-2.9,-5.8
449,Alan Herndon,2015,-2.9,1.8,-1.1
450,Alan Herndon,2016,-0.7,1.9,1.2
451,Alan Herndon,2017,0.4,3.9,4.2
452,Alan Jones,2012,2.8,-5.1,-2.3
453,Alan Williams,2012,2.3,1.9,4.2
454,Alan Williams,2013,-0.5,3.5,3.0
455,Alan Williams,2014,2.8,3.9,6.7
456,Alan Williams,2015,1.3,4.5,5.8
457,Alan-Michael Thompson,2012,-1.7,-3.5,-5.2
458,Alan-Michael Thompson,2013,2.2,-3.3,-1.1
459,Alandise Harris,2011,-2.6,0.2,-2.4
460,Alandise Harris,2012,1.7,0.1,1.8
461,Alandise Harris,2014,-0.8,3.8,2.9
462,Alandise Harris,2015,2.1,4.0,6.1
463,Alani Moore,2017,2.5,0.1,2.6
464,Alante Fenner,2014,-3.3,-1.8,-5.1
465,Alante Fenner,2015,-3.0,-0.6,-3.5
466,Alasdair Fraser,2011,-3.6,-0.3,-3.9
467,Alasdair Fraser,2012,-2.2,-0.7,-2.9
468,Alasdair Fraser,2013,-0.8,0.5,-0.3
469,Albert Abrahams,2011,-5.4,-4.0,-9.4
470,Albert Almanza,2016,0.0,-1.0,-1.0
471,Albert Almanza,2017,-0.6,-0.1,-0.7
472,Albert Christensson,2016,-7.0,-5.5,-12.5
473,Albert Christensson,2017,-6.8,-3.2,-10.0
474,Albert Owens,2015,-5.6,-1.3,-6.9
475,Albert Owens,2016,-3.5,0.2,-3.3
476,Albert Owens,2017,-1.5,-1.8,-3.3
477,Albert Thomas,2013,-1.8,-3.7,-5.5
478,Albert Thomas,2014,-4.5,-2.2,-6.7
479,Alberto Estwick,2011,0.8,-2.4,-1.6
480,Alberto Estwick,2012,-3.5,-2.2,-5.7
481,Aldonis Foote,2016,-1.8,1.3,-0.5
482,Aldonis Foote,2017,-2.9,0.8,-2.1
483,Alec Brennan,2016,0.5,3.8,4.2
484,Alec Brennan,2017,0.4,2.8,3.2
485,Alec Brown,2011,-0.8,2.9,2.1
486,Alec Brown,2012,-0.5,3.8,3.3
487,Alec Brown,2013,-0.3,1.6,1.3
488,Alec Brown,2014,1.0,3.7,4.6
489,Alec Burks,2011,7.3,-0.1,7.2
490,Alec Kobre,2015,2.8,-4.4,-1.6
491,Alec Kobre,2016,6.1,-3.5,2.7
492,Alec Peters,2014,2.4,-0.7,1.8
493,Alec Peters,2015,6.6,-0.1,6.5
494,Alec Peters,2016,6.8,1.7,8.5
495,Alec Peters,2017,6.0,0.5,6.4
496,Alec Wintering,2014,0.8,0.3,1.1
497,Alec Wintering,2015,4.5,-1.0,3.4
498,Alec Wintering,2016,4.1,-1.7,2.4
499,Alec Wnuk,2017,-2.9,-0.4,-3.3
500,Aleek Pauline,2011,-2.1,-2.4,-4.5
501,Aleer Leek,2016,-4.1,-2.8,-6.9
502,Alejo Rodriguez,2011,2.9,3.8,6.6
503,Aleks Abrams,2015,-7.2,0.9,-6.2
504,Aleks Abrams,2017,-2.6,-1.8,-4.3
505,Aleksa Jugovic,2015,1.8,-3.1,-1.3
506,Aleksa Jugovic,2016,3.1,-2.9,0.2
507,Aleksa Jugovic,2017,1.6,-3.1,-1.4
508,Aleksa Nikolic,2015,-7.3,0.8,-6.5
