,Name,Season,OBPM,DBPM,BPM
4890,Darrell Bowie,2013,-6.1,0.5,-5.6
4891,Darrell Bowie,2014,-5.9,2.7,-3.1
4892,Darrell Bowie,2017,-1.1,4.0,2.9
4893,Darrell Brown,2017,-0.6,-2.0,-2.7
4894,Darrell Davis,2015,0.5,0.7,1.2
4895,Darrell Davis,2016,-1.7,0.8,-0.9
4896,Darrell Davis,2017,0.7,0.3,1.0
4897,Darrell Lampley,2011,-2.4,-1.8,-4.2
4898,Darrell Lampley,2012,1.5,-2.7,-1.2
4899,Darrell Riley,2017,-3.3,-4.9,-8.3
4900,Darren Goodson,2013,1.7,-1.7,0.1
4901,Darren Goodson,2014,-1.7,-0.9,-2.6
4902,Darren Moore,2011,4.6,0.0,4.6
4903,Darren Payen,2014,-2.0,-1.5,-3.5
4904,Darren Payen,2016,-3.4,-0.7,-4.1
4905,Darren Payen,2017,2.8,1.8,4.6
4906,Darren White,2012,3.0,-1.9,1.1
4907,Darreon Reddick,2015,-4.0,-1.9,-6.0
4908,Darreon Reddick,2016,-3.0,-1.2,-4.2
4909,Darreon Reddick,2017,-1.9,-1.3,-3.2
4910,Darrian Gray,2014,-0.5,-3.4,-3.9
4911,Darrick Wood,2015,-4.0,-2.4,-6.4
4912,Darrick Wood,2016,-2.8,0.9,-1.9
4913,Darrin Williams,2011,-5.6,-1.2,-6.8
4914,Darrin Williams,2012,-0.1,1.6,1.5
4915,Darrion Allen,2014,-5.3,-4.5,-9.8
4916,Darrion Allen,2015,-3.8,-2.0,-5.8
4917,Darrion Allen,2016,0.3,-0.4,-0.1
4918,Darrion Allen,2017,-2.9,-4.2,-7.1
4919,Darrion Eastmon,2014,-7.1,-2.0,-9.1
4920,Darrion Pellum,2011,-0.6,-0.4,-0.9
4921,Darrion Pellum,2012,-1.8,-2.5,-4.3
4922,Darrion Strong-Moore,2017,-0.2,-0.1,-0.3
4923,Darrious Hamilton,2016,-3.6,-1.5,-5.1
4924,Darrius Garrett,2011,-2.0,8.3,6.2
4925,Darrius Garrett,2012,-3.5,8.0,4.4
4926,Darrius Morrow,2011,-0.3,0.9,0.5
4927,Darrius Morrow,2012,0.0,1.8,1.8
4928,Darrun Hilliard,2012,1.1,1.2,2.3
4929,Darrun Hilliard,2013,2.4,2.5,5.0
4930,Darrun Hilliard,2014,6.1,3.4,9.4
4931,Darrun Hilliard,2015,6.7,3.5,10.2
4932,Darryl Ashford,2011,1.0,2.8,3.8
4933,Darryl Bryant,2011,3.1,0.6,3.7
4934,Darryl Bryant,2012,4.6,-0.1,4.5
4935,Darryl Evans,2011,1.7,0.0,1.7
4936,Darryl Felder,2011,-4.4,-0.6,-5.0
4937,Darryl Gaynor,2015,-5.0,-4.4,-9.4
4938,Darryl Hicks,2016,-4.4,0.2,-4.2
4939,Darryl Marshall,2013,-2.0,-4.1,-6.1
4940,Darryl Marshall,2014,-4.8,-5.4,-10.2
4941,Darryl Palmer,2013,-2.0,-1.0,-3.1
4942,Darryl Palmer,2014,-5.0,2.1,-2.9
4943,Darryl Palmer,2015,-4.8,3.6,-1.2
4944,Darryl Palmer,2016,-2.3,2.1,-0.2
4945,Darryl Partin,2011,-0.1,-1.6,-1.7
4946,Darryl Partin,2012,0.5,-3.4,-2.9
4947,Darryl Reynolds,2015,0.0,8.7,8.7
4948,Darryl Reynolds,2016,1.5,5.6,7.1
4949,Darryl Reynolds,2017,2.7,6.2,8.9
4950,Darryl Roberts,2011,1.9,0.1,1.9
4951,Darryl Shazier,2011,1.8,1.1,2.8
4952,Darryl Smith,2014,-3.8,-2.7,-6.5
4953,Darryl Smith,2015,-4.2,0.8,-3.4
4954,Darryl Smith,2016,2.0,0.2,2.2
4955,Darshawn McClellan,2012,1.1,0.9,2.1
4956,Dartaye Ruffin,2011,-0.6,2.7,2.2
4957,Dartaye Ruffin,2012,-1.3,2.8,1.5
4958,Dartaye Ruffin,2013,-2.7,2.4,-0.2
4959,Dartaye Ruffin,2014,-1.2,3.7,2.5
4960,Daryl Macon,2017,7.5,-0.4,7.1
4961,Daryl McCoy,2011,-1.1,4.6,3.6
4962,Daryl McCoy,2012,-1.3,2.7,1.4
4963,Daryl McCoy,2013,-1.5,2.5,0.9
4964,Daryus Quarles,2011,-3.6,-2.8,-6.4
4965,Daryus Quarles,2012,-1.3,-1.5,-2.8
4966,Daryus Quarles,2013,-1.7,-0.8,-2.5
4967,Dash Harris,2011,-2.5,3.4,0.9
4968,Dash Harris,2012,-0.1,2.5,2.5
4969,Dashawn King,2016,-0.3,-1.2,-1.5
4970,Dashawn King,2017,-1.6,-0.5,-2.1
4971,Dashawn McDowell,2017,-1.8,2.1,0.3
4972,Dashawn Richmond,2015,-0.9,-1.4,-2.3
4973,Dathan Lyles,2011,-1.5,-0.7,-2.1
4974,Dau Jok,2013,0.5,-2.5,-2.0
4975,Dau Jok,2014,-2.8,-2.7,-5.5
4976,Dauson Womack,2013,-4.9,1.2,-3.7
4977,Dauson Womack,2014,-4.9,1.5,-3.4
4978,DavRon Williams,2015,-0.7,1.9,1.2
4979,Davante Cooper,2016,-8.7,0.4,-8.3
4980,Davante Drinkard,2011,-5.8,0.7,-5.1
4981,Davante Drinkard,2013,-4.7,-0.3,-4.9
4982,Davante Drinkard,2014,-5.5,1.8,-3.7
4983,Davante Gardner,2011,4.3,-0.6,3.8
4984,Davante Gardner,2012,5.3,1.8,7.1
4985,Davante Gardner,2013,7.7,2.2,9.9
4986,Davante Gardner,2014,5.8,0.8,6.6
4987,Davaris McGowens,2017,-2.8,-2.4,-5.2
4988,Dave Barnett,2011,-1.4,0.8,-0.6
4989,Dave Barnett,2012,0.7,0.5,1.2
4990,Dave Coley,2011,-7.3,0.1,-7.2
4991,Dave Coley,2012,-2.5,-1.3,-3.8
4992,Dave Coley,2013,-1.6,0.7,-0.9
4993,Dave Coley,2014,-1.4,-1.0,-2.4
4994,Dave Diakite,2011,-2.2,1.5,-0.7
4995,Dave Dudzinski,2011,-0.6,-1.5,-2.1
4996,Dave Dudzinski,2012,-0.3,0.1,-0.2
4997,Dave Dudzinski,2013,2.5,-1.0,1.6
4998,Dave Dudzinski,2014,0.0,-1.2,-1.2
4999,Dave Krmpotich,2016,-9.2,-2.2,-11.4
5000,Dave LaMore,2014,-4.8,-3.9,-8.6
5001,Dave Sobolewski,2012,2.7,-1.1,1.5
5002,Dave Sobolewski,2013,1.7,0.0,1.8
5003,Dave Sobolewski,2014,-3.1,1.4,-1.6
5004,Dave Sobolewski,2015,2.8,-0.6,2.2
5005,Dave Wiegmann,2014,-5.2,1.9,-3.3
5006,Davell Roby,2015,-1.3,0.3,-1.0
5007,Davell Roby,2016,-0.6,0.6,0.0
5008,Davell Roby,2017,1.2,-1.0,0.2
5009,Daveon Balls,2013,-6.3,-0.4,-6.7
5010,Daveon Balls,2014,-4.5,0.4,-4.1
5011,Daveon Boardingham,2013,1.7,4.0,5.7
5012,Daveon Boardingham,2014,1.4,2.7,4.2
5013,David Andoh,2015,-7.1,-2.6,-9.7
5014,David Andoh,2017,-2.9,-1.4,-4.4
5015,David Appolon,2013,-4.2,-0.3,-4.5
5016,David Appolon,2014,-0.6,0.3,-0.3
5017,David Blanks,2015,0.7,-1.2,-0.5
5018,David Blanks,2016,-1.6,-0.6,-2.2
5019,David Bloom,2017,-6.5,-2.1,-8.6
5020,David Boarden,2011,-7.0,-3.0,-10.0
5021,David Booker,2011,-0.9,-1.6,-2.5
5022,David Bottenberg,2017,-7.1,-3.5,-10.6
5023,David Brown,2012,-0.5,-1.1,-1.6
5024,David Brown,2014,3.5,-1.6,1.9
5025,David Brown,2015,4.4,-1.8,2.6
5026,David Bruce,2012,-4.3,-1.2,-5.5
5027,David Burrell,2017,2.0,0.7,2.7
5028,David Campbell,2011,-3.5,-1.7,-5.2
5029,David Carr,2012,-1.1,-2.8,-3.9
5030,David Carr,2014,-2.3,-1.2,-3.5
5031,David Chadwick,2012,-4.4,1.0,-3.4
5032,David Chavarria,2012,-3.4,0.2,-3.2
5033,David Cohn,2014,0.8,-1.9,-1.1
5034,David Cohn,2016,2.7,-1.2,1.5
5035,David Cohn,2017,-0.4,-2.2,-2.6
5036,David Collette,2015,2.8,3.8,6.6
5037,David Crisp,2016,0.8,0.3,1.0
5038,David Crisp,2017,2.4,-2.5,-0.1
5039,David DiLeo,2017,1.8,-3.2,-1.4
5040,David Efianayi,2017,-0.7,-1.5,-2.2
5041,David Foster,2011,-3.4,9.9,6.5
5042,David Gebru,2012,-5.7,1.6,-4.1
5043,David Golladay,2011,-5.3,0.4,-4.9
5044,David Hanson,2011,3.9,0.3,4.2
